Layer,Taxon.mod,BONE_LENGTH
I,Bos.Bison,62.46
I,Cervid,62.51
I,Cervid,62.55
I,Bos.Bison,62.63
K,Cervid,62.8
I,Bos.Bison,62.82
I,Cervid,62.92
I,Bos.Bison,63.11
I,Bos.Bison,63.15
I,Cervid,63.25
I,Bos.Bison,63.34
I,Cervid,63.36
I,Ursid,63.4
I,Bos.Bison,63.46
I,Cervid,63.47
J,Ursid,63.49
I,Bos.Bison,63.54
I,Bos.Bison,63.6
I,Bos.Bison,63.61
I,Cervid,63.67
I,Bos.Bison,63.68
I,Ursid,63.72
I,Bos.Bison,63.8
I,Ursid,63.85
I,Cervid,63.87
I,Bos.Bison,64.01
I,Cervid,64.03
I,Ursid,64.06
I,Ursid,64.17
I,Cervid,64.56
I,Ursid,64.57
I,Bos.Bison,64.68
I,Ursid,64.88
I,Cervid,64.93
I,Cervid,65.02
I,Cervid,65.04
I,Bos.Bison,65.21
I,Cervid,65.22
I,Bos.Bison,65.7
J,Bos.Bison,65.73
I,Bos.Bison,65.96
I,Cervid,65.97
I,Cervid,66
I,Bos.Bison,66.03
I,Bos.Bison,66.2
I,Bos.Bison,66.2
K,Bos.Bison,66.27
I,Cervid,66.38
I,Bos.Bison,66.51
I,Bos.Bison,66.69
I,Bos.Bison,66.85
I,Bos.Bison,66.91
I,Bos.Bison,67
I,Cervid,67
I,Cervid,67.02
I,Ursid,67.16
I,Ursid,67.19
I,Cervid,67.38
I,Bos.Bison,67.41
I,Bos.Bison,67.52
I,Cervid,67.59
I,Bos.Bison,67.64
I,Cervid,67.83
K,Bos.Bison,67.94
I,Ursid,67.95
I,Bos.Bison,68.08
I,Cervid,68.32
I,Bos.Bison,68.38
I,Cervid,68.57
I,Cervid,68.6
I,Cervid,68.63
K,Cervid,68.67
I,Ursid,68.87
I,Ursid,69.01
I,Ursid,69.37
I,Bos.Bison,69.38
I,Bos.Bison,69.59
I,Bos.Bison,69.92
I,Ursid,70.15
K,Bos.Bison,70.19
I,Bos.Bison,70.37
I,Bos.Bison,70.41
K,Ursid,70.54
I,Bos.Bison,70.55
I,Bos.Bison,70.75
I,Ursid,71.12
I,Cervid,71.34
I,Cervid,71.66
I,Ursid,71.81
I,Ursid,71.9
I,Bos.Bison,72.08
I,Ursid,72.15
