lev.final,TAXON,ELEMENT_MAMMAL,NISP,MNE,MNI,MAU,MAU_percent
I,Sus_scrofa,Metatarsal_I,1,1,1,0.5,100
I,Ursus_arctos,Phalanx_1/1,1,1,1,0.05,100
I,Ursus_sp.,Acetabulum,1,1,1,0.5,14.285714285714285
I,Ursus_sp.,Cranium,5,1,1,1,28.57142857142857
I,Ursus_sp.,Femur,11,7,4,3.5,100
I,Ursus_sp.,Humerus,10,5,3,2.5,71.42857142857143
I,Ursus_sp.,Ischium,1,1,1,0.5,14.285714285714285
I,Ursus_sp.,Metacarpal_IV,1,1,1,0.5,14.285714285714285
I,Ursus_sp.,Rib,6,2,2,0.0769230769230769,2.197802197802197
I,Ursus_sp.,Scapula,2,2,1,1,28.57142857142857
I,Ursus_sp.,Tibia,5,2,1,1,28.57142857142857
I,Ursus_sp.,Ulna,6,4,2,2,57.14285714285714
I,Ursus_sp.,Vert_Thoracic,1,1,1,0.0769230769230769,2.197802197802197
I,Ursus_spelaeus,Acetabulum,1,1,1,0.5,14.285714285714285
I,Ursus_spelaeus,Cranium,16,1,1,1,28.57142857142857
I,Ursus_spelaeus,Femur,7,3,2,1.5,42.857142857142854
I,Ursus_spelaeus,Fibula,1,1,1,0.5,14.285714285714285
I,Ursus_spelaeus,Humerus,8,2,2,1,28.57142857142857
I,Ursus_spelaeus,Ischium,1,1,1,0.5,14.285714285714285
I,Ursus_spelaeus,Metacarpal_III,4,2,2,1,28.57142857142857
I,Ursus_spelaeus,Metacarpal_V,1,1,1,0.5,14.285714285714285
I,Ursus_spelaeus,Metatarsal_V,3,2,1,1,28.57142857142857
I,Ursus_spelaeus,Phalanx_1,2,2,1,0.1,2.857142857142857
I,Ursus_spelaeus,Phalanx_2,5,16,2,0.8,22.857142857142858
I,Ursus_spelaeus,Phalanx_2/1,1,1,1,0.05,1.4285714285714286
I,Ursus_spelaeus,Phalanx_2/2,2,7,1,0.35,10
I,Ursus_spelaeus,Phalanx_2/3,1,1,1,0.05,1.4285714285714286
I,Ursus_spelaeus,Phalanx_3,1,1,1,0.05,1.4285714285714286
I,Ursus_spelaeus,Phalanx_3/1,3,2,2,0.1,2.857142857142857
I,Ursus_spelaeus,Phalanx_3/2,3,5,2,0.25,7.142857142857142
I,Ursus_spelaeus,Phalanx_4/1,1,1,1,0.05,1.4285714285714286
I,Ursus_spelaeus,Phalanx_4/2,2,4,2,0.2,5.714285714285714
I,Ursus_spelaeus,Phalanx_4/3,1,2,1,0.1,2.857142857142857
I,Ursus_spelaeus,Phalanx_5/1,3,3,3,0.15,4.285714285714286
I,Ursus_spelaeus,Radius,5,4,2,2,57.14285714285714
I,Ursus_spelaeus,Rib,2,2,2,0.0769230769230769,2.197802197802197
I,Ursus_spelaeus,Scapula,1,1,1,0.5,14.285714285714285
I,Ursus_spelaeus,Sesamoid,6,6,5,NA,NA
I,Ursus_spelaeus,Ulna,11,4,3,2,57.14285714285714
I,Ursus_spelaeus,Vert_Cervical,1,1,1,0.142857142857143,4.081632653061228
I,Ursus_spelaeus,Vert_Lumbar,1,1,1,0.142857142857143,4.081632653061228
I,Ursus_spelaeus,Vert_Thoracic,2,2,2,0.153846153846154,4.3956043956044
I,Vulpes_vulpes,Astragalus,1,1,1,0.5,100
